Designator,Mid X,Mid Y,Rotation,Layer
C1,25.000000mm,-20.000000mm,0.000000,Top
C2,58.000000mm,-24.000000mm,0.000000,Top
C3,91.000000mm,-28.000000mm,0.000000,Top
C4,36.000000mm,-36.000000mm,0.000000,Top
C5,69.000000mm,-40.000000mm,0.000000,Top
C6,102.000000mm,-44.000000mm,0.000000,Top
C7,36.000000mm,-52.000000mm,0.000000,Top
C8,47.000000mm,-52.000000mm,0.000000,Top
C9,58.000000mm,-52.000000mm,0.000000,Top
C10,36.000000mm,-20.000000mm,0.000000,Top
C11,47.000000mm,-20.000000mm,0.000000,Top
C12,58.000000mm,-20.000000mm,0.000000,Top
C13,69.000000mm,-20.000000mm,0.000000,Top
C14,80.000000mm,-20.000000mm,0.000000,Top
C15,91.000000mm,-20.000000mm,0.000000,Top
C16,102.000000mm,-20.000000mm,0.000000,Top
C17,25.000000mm,-24.000000mm,0.000000,Top
C18,36.000000mm,-24.000000mm,0.000000,Top
C19,47.000000mm,-24.000000mm,0.000000,Top
C20,69.000000mm,-24.000000mm,0.000000,Top
C21,80.000000mm,-24.000000mm,0.000000,Top
C22,91.000000mm,-24.000000mm,0.000000,Top
C23,102.000000mm,-24.000000mm,0.000000,Top
C24,25.000000mm,-28.000000mm,0.000000,Top
C25,36.000000mm,-28.000000mm,0.000000,Top
C26,47.000000mm,-28.000000mm,0.000000,Top
C27,58.000000mm,-28.000000mm,0.000000,Top
C28,69.000000mm,-28.000000mm,0.000000,Top
C29,80.000000mm,-28.000000mm,0.000000,Top
C30,102.000000mm,-28.000000mm,0.000000,Top
C31,25.000000mm,-32.000000mm,0.000000,Top
C32,36.000000mm,-32.000000mm,0.000000,Top
C33,47.000000mm,-32.000000mm,0.000000,Top
C34,58.000000mm,-32.000000mm,0.000000,Top
C35,69.000000mm,-32.000000mm,0.000000,Top
C36,80.000000mm,-32.000000mm,0.000000,Top
C37,91.000000mm,-32.000000mm,0.000000,Top
C38,102.000000mm,-32.000000mm,0.000000,Top
C39,25.000000mm,-36.000000mm,0.000000,Top
C40,47.000000mm,-36.000000mm,0.000000,Top
C41,58.000000mm,-36.000000mm,0.000000,Top
C42,69.000000mm,-36.000000mm,0.000000,Top
C43,80.000000mm,-36.000000mm,0.000000,Top
C44,91.000000mm,-36.000000mm,0.000000,Top
C45,102.000000mm,-36.000000mm,0.000000,Top
C46,25.000000mm,-40.000000mm,0.000000,Top
C47,36.000000mm,-40.000000mm,0.000000,Top
C48,47.000000mm,-40.000000mm,0.000000,Top
C49,58.000000mm,-40.000000mm,0.000000,Top
C50,80.000000mm,-40.000000mm,0.000000,Top
C51,91.000000mm,-40.000000mm,0.000000,Top
C52,102.000000mm,-40.000000mm,0.000000,Top
C53,25.000000mm,-44.000000mm,0.000000,Top
C54,36.000000mm,-44.000000mm,0.000000,Top
C55,47.000000mm,-44.000000mm,0.000000,Top
C56,58.000000mm,-44.000000mm,0.000000,Top
C57,69.000000mm,-44.000000mm,0.000000,Top
C58,80.000000mm,-44.000000mm,0.000000,Top
C59,91.000000mm,-44.000000mm,0.000000,Top
C60,25.000000mm,-48.000000mm,0.000000,Top
C61,36.000000mm,-48.000000mm,0.000000,Top
C62,47.000000mm,-48.000000mm,0.000000,Top
C63,58.000000mm,-48.000000mm,0.000000,Top
C64,69.000000mm,-48.000000mm,0.000000,Top
C65,80.000000mm,-48.000000mm,0.000000,Top
C66,91.000000mm,-48.000000mm,0.000000,Top
C67,102.000000mm,-48.000000mm,0.000000,Top
C68,25.000000mm,-52.000000mm,0.000000,Top
R1,26.000000mm,-20.000000mm,0.000000,Top
R2,59.000000mm,-24.000000mm,0.000000,Top
R3,92.000000mm,-28.000000mm,0.000000,Top
R4,37.000000mm,-36.000000mm,0.000000,Top
R5,81.000000mm,-36.000000mm,0.000000,Top
R6,92.000000mm,-36.000000mm,0.000000,Top
R7,103.000000mm,-36.000000mm,0.000000,Top
R8,26.000000mm,-40.000000mm,0.000000,Top
R9,37.000000mm,-40.000000mm,0.000000,Top
R10,37.000000mm,-20.000000mm,0.000000,Top
R11,48.000000mm,-20.000000mm,0.000000,Top
R12,59.000000mm,-20.000000mm,0.000000,Top
R13,70.000000mm,-20.000000mm,0.000000,Top
R14,81.000000mm,-20.000000mm,0.000000,Top
R15,92.000000mm,-20.000000mm,0.000000,Top
R16,103.000000mm,-20.000000mm,0.000000,Top
R17,26.000000mm,-24.000000mm,0.000000,Top
R18,37.000000mm,-24.000000mm,0.000000,Top
R19,48.000000mm,-24.000000mm,0.000000,Top
R20,70.000000mm,-24.000000mm,0.000000,Top
R21,81.000000mm,-24.000000mm,0.000000,Top
R22,92.000000mm,-24.000000mm,0.000000,Top
R23,103.000000mm,-24.000000mm,0.000000,Top
R24,26.000000mm,-28.000000mm,0.000000,Top
R25,37.000000mm,-28.000000mm,0.000000,Top
R26,48.000000mm,-28.000000mm,0.000000,Top
R27,59.000000mm,-28.000000mm,0.000000,Top
R28,70.000000mm,-28.000000mm,0.000000,Top
R29,81.000000mm,-28.000000mm,0.000000,Top
R30,103.000000mm,-28.000000mm,0.000000,Top
R31,26.000000mm,-32.000000mm,0.000000,Top
R32,37.000000mm,-32.000000mm,0.000000,Top
R33,48.000000mm,-32.000000mm,0.000000,Top
R34,59.000000mm,-32.000000mm,0.000000,Top
R35,70.000000mm,-32.000000mm,0.000000,Top
R36,81.000000mm,-32.000000mm,0.000000,Top
R37,92.000000mm,-32.000000mm,0.000000,Top
R38,103.000000mm,-32.000000mm,0.000000,Top
R39,26.000000mm,-36.000000mm,0.000000,Top
R40,48.000000mm,-36.000000mm,0.000000,Top
R41,59.000000mm,-36.000000mm,0.000000,Top
R42,70.000000mm,-36.000000mm,0.000000,Top
U1,26.000000mm,-24.000000mm,0.000000,Top
U2,48.000000mm,-38.000000mm,0.000000,Top
U3,70.000000mm,-38.000000mm,0.000000,Top
U4,92.000000mm,-38.000000mm,0.000000,Top
U5,26.000000mm,-52.000000mm,0.000000,Top
U6,48.000000mm,-52.000000mm,0.000000,Top
U7,70.000000mm,-52.000000mm,0.000000,Top
U8,92.000000mm,-52.000000mm,0.000000,Top
U9,94.000000mm,-24.000000mm,0.000000,Top
U10,48.000000mm,-24.000000mm,0.000000,Top
U11,70.000000mm,-24.000000mm,0.000000,Top
U12,92.000000mm,-24.000000mm,0.000000,Top
U13,26.000000mm,-38.000000mm,0.000000,Top
