Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GCM1555C1H102FA16D","C_0402_1005Metric",25.000000,-20.000000,0.000000,top
"C2","GCM1555C1H102FA16D","C_0402_1005Metric",58.000000,-24.000000,0.000000,top
"C3","GCM1555C1H102FA16D","C_0402_1005Metric",91.000000,-28.000000,0.000000,top
"C4","GCM1555C1H102FA16D","C_0402_1005Metric",36.000000,-36.000000,0.000000,top
"C5","GCM1555C1H102FA16D","C_0402_1005Metric",69.000000,-40.000000,0.000000,top
"C6","GCM1555C1H102FA16D","C_0402_1005Metric",102.000000,-44.000000,0.000000,top
"C7","GCM1555C1H102FA16D","C_0402_1005Metric",36.000000,-52.000000,0.000000,top
"C8","GCM1555C1H102FA16D","C_0402_1005Metric",47.000000,-52.000000,0.000000,top
"C9","GCM1555C1H102FA16D","C_0402_1005Metric",58.000000,-52.000000,0.000000,top
"C10","GCM1555C1H102FA16D","C_0402_1005Metric",36.000000,-20.000000,0.000000,top
"C11","GCM1555C1H102FA16D","C_0402_1005Metric",47.000000,-20.000000,0.000000,top
"C12","GCM1555C1H102FA16D","C_0402_1005Metric",58.000000,-20.000000,0.000000,top
"C13","GCM1555C1H102FA16D","C_0402_1005Metric",69.000000,-20.000000,0.000000,top
"C14","GCM1555C1H102FA16D","C_0402_1005Metric",80.000000,-20.000000,0.000000,top
"C15","GCM1555C1H102FA16D","C_0402_1005Metric",91.000000,-20.000000,0.000000,top
"C16","GCM1555C1H102FA16D","C_0402_1005Metric",102.000000,-20.000000,0.000000,top
"C17","GRM21BZ71E106KE15K","C_0805_2012Metric",25.000000,-24.000000,0.000000,top
"C18","GRM21BZ71E106KE15K","C_0805_2012Metric",36.000000,-24.000000,0.000000,top
"C19","GRM21BZ71E106KE15K","C_0805_2012Metric",47.000000,-24.000000,0.000000,top
"C20","GRM21BZ71E106KE15K","C_0805_2012Metric",69.000000,-24.000000,0.000000,top
"C21","GRM21BZ71E106KE15K","C_0805_2012Metric",80.000000,-24.000000,0.000000,top
"C22","GRM21BZ71E106KE15K","C_0805_2012Metric",91.000000,-24.000000,0.000000,top
"C23","GRM21BZ71E106KE15K","C_0805_2012Metric",102.000000,-24.000000,0.000000,top
"C24","GRM21BZ71E106KE15K","C_0805_2012Metric",25.000000,-28.000000,0.000000,top
"C25","GRM1555CYA103GE01D","C_0402_1005Metric",36.000000,-28.000000,0.000000,top
"C26","GRM1555CYA103GE01D","C_0402_1005Metric",47.000000,-28.000000,0.000000,top
"C27","GRM1555CYA103GE01D","C_0402_1005Metric",58.000000,-28.000000,0.000000,top
"C28","GRM1555CYA103GE01D","C_0402_1005Metric",69.000000,-28.000000,0.000000,top
"C29","GRM1555CYA103GE01D","C_0402_1005Metric",80.000000,-28.000000,0.000000,top
"C30","GRM1555CYA103GE01D","C_0402_1005Metric",102.000000,-28.000000,0.000000,top
"C31","GRM1555CYA103GE01D","C_0402_1005Metric",25.000000,-32.000000,0.000000,top
"C32","GRM1555CYA103GE01D","C_0402_1005Metric",36.000000,-32.000000,0.000000,top
"C33","GRM21BZ71E106KE15K","C_0805_2012Metric",47.000000,-32.000000,0.000000,top
"C34","GRM21BZ71E106KE15K","C_0805_2012Metric",58.000000,-32.000000,0.000000,top
"C35","GRM21BZ71E106KE15K","C_0805_2012Metric",69.000000,-32.000000,0.000000,top
"C36","GRM21BZ71E106KE15K","C_0805_2012Metric",80.000000,-32.000000,0.000000,top
"C37","GRM21BZ71E106KE15K","C_0805_2012Metric",91.000000,-32.000000,0.000000,top
"C38","GRM21BZ71E106KE15K","C_0805_2012Metric",102.000000,-32.000000,0.000000,top
"C39","GRM21BZ71E106KE15K","C_0805_2012Metric",25.000000,-36.000000,0.000000,top
"C40","GRM21BZ71E106KE15K","C_0805_2012Metric",47.000000,-36.000000,0.000000,top
"C41","capacitor","C_0805_2012Metric",58.000000,-36.000000,0.000000,top
"C42","GCM155R71H104KE02D","C_0402_1005Metric",69.000000,-36.000000,0.000000,top
"C43","GRM188Z71A106KA73D","C_0603_1608Metric",80.000000,-36.000000,0.000000,top
"C44","GCM155R71H104KE02D","C_0402_1005Metric",91.000000,-36.000000,0.000000,top
"C45","GRM188Z71A106KA73D","C_0603_1608Metric",102.000000,-36.000000,0.000000,top
"C46","GCM155R71H104KE02D","C_0402_1005Metric",25.000000,-40.000000,0.000000,top
"C47","GRM188Z71A106KA73D","C_0603_1608Metric",36.000000,-40.000000,0.000000,top
"C48","GCM155R71H104KE02D","C_0402_1005Metric",47.000000,-40.000000,0.000000,top
"C49","GRM188Z71A106KA73D","C_0603_1608Metric",58.000000,-40.000000,0.000000,top
"C50","GCM155R71H104KE02D","C_0402_1005Metric",80.000000,-40.000000,0.000000,top
"C51","GRM188Z71A106KA73D","C_0603_1608Metric",91.000000,-40.000000,0.000000,top
"C52","GCM155R71H104KE02D","C_0402_1005Metric",102.000000,-40.000000,0.000000,top
"C53","GRM188Z71A106KA73D","C_0603_1608Metric",25.000000,-44.000000,0.000000,top
"C54","GCM155R71H104KE02D","C_0402_1005Metric",36.000000,-44.000000,0.000000,top
"C55","GRM188Z71A106KA73D","C_0603_1608Metric",47.000000,-44.000000,0.000000,top
"C56","GCM155R71H104KE02D","C_0402_1005Metric",58.000000,-44.000000,0.000000,top
"C57","GRM188Z71A106KA73D","C_0603_1608Metric",69.000000,-44.000000,0.000000,top
"C58","GCM155R71H104KE02D","C_0402_1005Metric",80.000000,-44.000000,0.000000,top
"C59","GRM188Z71A106KA73D","C_0603_1608Metric",91.000000,-44.000000,0.000000,top
"C60","GCM155R71H104KE02D","C_0402_1005Metric",25.000000,-48.000000,0.000000,top
"C61","GRM188Z71A106KA73D","C_0603_1608Metric",36.000000,-48.000000,0.000000,top
"C62","GCM155R71H104KE02D","C_0402_1005Metric",47.000000,-48.000000,0.000000,top
